id_musica,titulo,artista,genero,ano_lancamento,duracao_ms,popularidade,streams_milhoes,danceability,energy,valence,acousticness,speechiness,liveness,bpm,tom,modo,explicito,selo
TRK00001,Magic Stronger,The Weeknd,R&B,2019,165524,59,861.6,0.712,0.583,0.434,0.171,0.04,0.144,110,A#,Maior,Não,Warner Music
TRK00002,Beautiful,Calvin Harris,Electronic,2012,225769,66,802.3,0.688,0.838,0.492,0.092,0.384,0.054,117,A,Maior,Não,Republic Records
TRK00003,Stronger Maybe Joy,Tiësto,Electronic,2013,169636,71,839.6,0.653,0.877,0.281,0.125,0.17,0.192,118,C,Maior,Não,Atlantic Records
TRK00004,Fiesta,Anitta,Latin,2014,185060,10,169.3,0.807,0.898,0.513,0.194,0.127,0.146,119,F#,Maior,Sim,Columbia Records
TRK00005,Fire Tomorrow,J. Cole,Hip-Hop,2011,153249,68,797.4,0.854,0.758,0.443,0.11,0.095,0.211,95,F#,Maior,Sim,Capitol Records
TRK00006,Body Young,Major Lazer,Electronic,2014,236925,21,250.4,0.749,0.654,0.602,0.286,0.183,0.402,128,D#,Menor,Sim,Sony Music
TRK00007,Loca,Wisin & Yandel,Reggaeton,2017,214093,35,367.2,0.745,0.734,0.646,0.228,0.048,0.188,125,F,Maior,Sim,Def Jam
TRK00008,Alone Smile,Kanye West,Hip-Hop,2024,213075,85,946.1,0.651,0.582,0.449,0.069,0.055,0.111,96,B,Maior,Sim,Independent
TRK00009,Soul Stronger,Harry Styles,Pop,2024,264555,58,706.5,0.95,0.661,0.262,0.388,0.26,0.189,114,C,Maior,Não,Independent
TRK00010,Everything Angel,Lord Huron,Indie,2022,161325,72,913.6,0.371,0.648,0.707,0.54,0.173,0.119,95,A,Menor,Não,Sony Music
TRK00011,Tomorrow Rain Heaven,Post Malone,Hip-Hop,2023,319376,68,788.9,0.759,0.481,0.357,0.547,0.251,0.234,94,G#,Menor,Sim,Warner Music
TRK00012,Tu Sonrisa,Daddy Yankee,Latin,2019,241081,72,894.8,0.744,0.886,0.301,0.255,0.262,0.241,127,C#,Maior,Não,Warner Music
TRK00013,Anywhere Tears,Zach Bryan,Country,2024,210957,41,438.4,0.667,0.822,0.816,0.451,0.308,0.154,110,A,Menor,Não,Sony Music
TRK00014,Stay,Diplo,Electronic,2021,196607,75,951.9,0.723,0.868,0.593,0.337,0.022,0.102,116,E,Menor,Não,Independent
TRK00015,Tomorrow Love,Harry Styles,Pop,2019,196630,77,922.8,0.668,0.738,0.739,0.263,0.224,0.092,93,D,Maior,Não,Atlantic Records
TRK00016,Hello Yours,Carrie Underwood,Country,2020,172696,67,843.7,0.555,0.5,0.264,0.19,0.323,0.24,134,G#,Maior,Não,Warner Music
TRK00017,Stay,Zedd,Electronic,2019,185394,69,790.2,0.949,0.869,0.638,0.224,0.138,0.225,125,E,Maior,Não,Columbia Records
TRK00018,Crazy,Katy Perry,Pop,2015,245070,63,748.2,0.775,0.773,0.573,0.528,0.112,0.34,117,G#,Maior,Não,Def Jam
TRK00019,Heaven Bright,Justin Bieber,Pop,2025,286492,66,828.8,0.807,0.485,0.791,0.082,0.249,0.143,111,D#,Maior,Não,RCA Records
TRK00020,Provócame,Daddy Yankee,Latin,2014,264315,55,642.7,0.8,0.749,0.596,0.154,0.113,0.296,119,D#,Maior,Não,Capitol Records
TRK00021,Joy Stronger,Taylor Swift,Pop,2012,260845,39,461.3,0.777,0.759,0.261,0.134,0.179,0.135,119,A#,Maior,Sim,Universal Music
TRK00022,Kiss,"Tyler, The Creator",Hip-Hop,2022,249052,44,637.9,0.666,0.578,0.445,0.148,0.132,0.077,63,E,Menor,Sim,Sony Music
TRK00023,Magic Today Nothing,Travis Scott,Hip-Hop,2025,207055,83,913.9,0.722,0.685,0.618,0.26,0.333,0.21,78,A#,Menor,Sim,Republic Records
TRK00024,Sky Tonight Forever,Future,Hip-Hop,2022,231419,87,938.5,0.597,0.803,0.4,0.482,0.305,0.179,99,C#,Maior,Não,Interscope
TRK00025,Sunshine Anywhere Wild,Bruno Mars,Pop,2019,245442,46,596.8,0.686,0.724,0.453,0.684,0.329,0.151,85,C#,Menor,Não,Atlantic Records
TRK00026,Sky,Glass Animals,Indie,2020,198372,62,730.7,0.402,0.626,0.391,0.356,0.424,0.1,104,C,Maior,Não,Independent
TRK00027,Kill This Love,EXO,K-Pop,2023,180543,52,575.4,0.758,0.634,0.99,0.124,0.127,0.223,99,G,Maior,Não,Warner Music
TRK00028,Believe,Tim McGraw,Country,2019,173818,38,489.8,0.515,0.52,0.726,0.161,0.327,0.148,135,F#,Menor,Sim,Interscope
TRK00029,Likey,Red Velvet,K-Pop,2014,191675,69,859.7,0.637,0.654,0.384,0.181,0.103,0.108,111,B,Menor,Não,Atlantic Records
TRK00030,Forever Pain,Billie Eilish,Pop,2021,218300,51,588.9,0.533,0.765,0.664,0.33,0.272,0.249,108,F,Maior,Sim,Capitol Records
TRK00031,Forever Dark,Justin Bieber,Pop,2012,185921,50,592.8,0.776,0.833,0.405,0.544,0.14,0.112,129,C#,Maior,Não,Sony Music
TRK00032,Gone Mind Magic,SZA,R&B,2023,214549,75,886.9,0.631,0.498,0.466,0.162,0.363,0.033,100,A,Maior,Não,RCA Records
TRK00033,Heaven Higher,Foo Fighters,Rock,2019,245696,48,666.6,0.561,0.692,0.583,0.316,0.127,0.164,130,D#,Menor,Não,Independent
TRK00034,Tomorrow Feel,Red Hot Chili Peppers,Rock,2024,226081,38,545.8,0.675,0.729,0.354,0.173,0.202,0.153,119,A,Maior,Sim,Sony Music
TRK00035,Memories Need,Ed Sheeran,Pop,2020,217221,62,896.3,0.95,0.676,0.906,0.447,0.153,0.172,118,F,Menor,Não,Sony Music
TRK00036,Laugh Bright,Selena Gomez,Pop,2019,230958,59,749.8,0.684,0.649,0.219,0.381,0.087,0.165,102,G#,Menor,Não,Universal Music
TRK00037,ELEVEN,BLACKPINK,K-Pop,2021,169312,68,899.3,0.752,0.604,0.55,0.286,0.209,0.153,115,C#,Maior,Não,Warner Music
TRK00038,Hold Higher,Nicki Minaj,Hip-Hop,2020,103625,55,689.4,0.875,0.401,0.476,0.119,0.213,0.36,89,E,Menor,Sim,Independent
TRK00039,Beautiful,"Tyler, The Creator",Hip-Hop,2022,195972,86,1110.9,0.727,0.748,0.597,0.427,0.232,0.076,80,E,Maior,Sim,Independent
TRK00040,Heaven Goodbye,Shawn Mendes,Pop,2017,139875,36,476.6,0.572,0.911,0.889,0.305,0.127,0.142,86,F#,Maior,Não,Def Jam
TRK00041,Together Dream,Katy Perry,Pop,2014,158462,42,417.9,0.71,0.504,0.951,0.346,0.476,0.052,126,D,Menor,Não,Columbia Records
TRK00042,Fire Want,Billie Eilish,Pop,2019,233240,50,610.8,0.608,0.538,0.761,0.19,0.307,0.139,103,A#,Maior,Não,Republic Records
TRK00043,Cry Hello Shine,Lil Wayne,Hip-Hop,2020,196605,71,888.6,0.687,0.867,0.438,0.27,0.113,0.142,105,D,Menor,Não,Warner Music
TRK00044,Nothing Magic,Charlie Puth,Pop,2023,261450,81,944.1,0.806,0.646,0.245,0.22,0.279,0.312,127,B,Maior,Não,Atlantic Records
TRK00045,Stronger Run Tomorrow,Imagine Dragons,Rock,2024,245460,72,927.9,0.562,0.734,0.488,0.347,0.181,0.444,116,D#,Maior,Não,Columbia Records
TRK00046,Kiss Dancing Lost,Ed Sheeran,Pop,2025,258926,58,580.0,0.632,0.639,0.734,0.358,0.398,0.203,80,G#,Menor,Não,Atlantic Records
TRK00047,Dance Stay,Bryson Tiller,R&B,2022,161704,89,1045.6,0.778,0.524,0.685,0.305,0.283,0.151,94,E,Maior,Não,Atlantic Records
TRK00048,Feel Always,Harry Styles,Pop,2023,163057,66,744.1,0.617,0.757,0.677,0.481,0.13,0.193,109,C#,Menor,Não,RCA Records
TRK00049,Fire Always,Kane Brown,Country,2019,245364,57,740.0,0.485,0.549,0.689,0.121,0.368,0.266,109,G#,Maior,Não,Universal Music
TRK00050,Cry Feel,Kendrick Lamar,Hip-Hop,2024,226867,74,890.8,0.832,0.711,0.784,0.401,0.153,0.248,111,B,Menor,Não,Independent
TRK00051,Touch Everything Rising,Daft Punk,Electronic,2022,240132,55,631.2,0.672,0.95,0.603,0.212,0.24,0.194,127,F#,Menor,Sim,Capitol Records
TRK00052,Laugh Mind,Giveon,R&B,2024,215112,82,978.0,0.624,0.595,0.537,0.324,0.064,0.046,118,C,Menor,Não,Atlantic Records
TRK00053,Yesterday Never,Future,Hip-Hop,2019,160909,87,1119.0,0.916,0.758,0.408,0.278,0.333,0.195,91,G#,Menor,Não,Def Jam
TRK00054,Crazy Falling,Lord Huron,Indie,2020,229656,79,973.5,0.449,0.82,0.264,0.355,0.246,0.297,114,A,Menor,Não,Capitol Records
TRK00055,Shining Stronger,Shawn Mendes,Pop,2023,209032,64,827.3,0.643,0.668,0.99,0.28,0.195,0.152,111,C,Maior,Sim,Republic Records
TRK00056,Mi Amor,Myke Towers,Reggaeton,2016,234932,90,1091.9,0.892,0.892,0.421,0.33,0.353,0.328,125,B,Menor,Sim,Independent
TRK00057,Love Summer,Maroon 5,Rock,2013,168736,82,890.3,0.486,0.842,0.99,0.245,0.207,0.046,147,B,Menor,Não,Interscope
